name,est,std
Fesp,0.0012537,0.00016176
Fesp,0.0016378,0.00021068
Fesp,0.0055914,0.00071202
Fesp,0.018764,0.0023492
Fesp,0.026295,0.0032433
Fesp,0.068614,0.0083217
Fesp,0.10924,0.013136
Fesp,0.077371,0.0094779
Fesp,0.10024,0.012339
Fesp,0.067933,0.0085651
Fesp,0.071302,0.0091976
Fesp,0.041201,0.0054293
Fesp,0.038624,0.0051423
Fesp,0.039847,0.0053383
Fesp,0.038156,0.0051394
Fesp,0.049963,0.0066867
Fesp,0.055289,0.0073517
Fesp,0.057841,0.0076726
Fesp,0.066555,0.0088859
Fesp,0.079441,0.01061
Fesp,0.071761,0.0095601
Fesp,0.07488,0.0098792
Fesp,0.07237,0.0093638
Fesp,0.070191,0.0090257
Fesp,0.07474,0.0096345
Fesp,0.087597,0.01128
Fesp,0.085189,0.011046
Fesp,0.074904,0.009884
Fesp,0.065726,0.008877
Fesp,0.040368,0.0055338
Fesp,0.032724,0.004564
Fesp,0.032605,0.0046076
Fesp,0.022113,0.0031696
Fesp,0.040687,0.0058537
Fesp,0.039446,0.0058364
Fesp,0.036233,0.0055661
Fesp,0.038683,0.0062591
Fesp,0.034885,0.0060204
Ftot,0.0078637,0.0015086
Ftot,0.13336,0.025829
Ftot,0.18245,0.034529
Ftot,0.16393,0.031781
Ftot,0.19262,0.038438
Ftot,0.24498,0.050428
Ftot,0.22075,0.046421
Ftot,0.19146,0.039657
Ftot,0.18599,0.036056
Ftot,0.272,0.052712
Ftot,0.3399,0.058697
Ftot,0.4205,0.068255
Ftot,0.46294,0.084307
Ftot,0.43441,0.077507
Ftot,0.4449,0.089439
Ftot,0.47115,0.095946
Ftot,0.30663,0.063557
Ftot,0.31804,0.06526
Ftot,0.27248,0.055012
Ftot,0.25693,0.050788
Ftot,0.24256,0.045391
Ftot,0.26416,0.049789
Ftot,0.29627,0.057025
Ftot,0.3241,0.063423
Ftot,0.32004,0.062502
Ftot,0.3231,0.063962
Ftot,0.36495,0.074149
Ftot,0.37648,0.074986
Ftot,0.34569,0.066452
Ftot,0.39974,0.077629
Ftot,0.39601,0.074194
Ftot,0.38908,0.073375
Ftot,0.38905,0.076279
Ftot,0.40008,0.080914
Ftot,0.30606,0.06391
Ftot,0.36125,0.078447
Ftot,0.32509,0.069972
Ftot,0.20379,0.04361
Ftot,0.21356,0.042153
Ftot,0.28448,0.058274
Ftot,0.2584,0.053947
Ftot,0.35409,0.079988
Ftot,0.3725,0.091986
muArr,0.0078631,0.0012873
muArr,0.13314,0.022056
muArr,0.18181,0.029041
muArr,0.16339,0.027011
muArr,0.19011,0.032939
muArr,0.2419,0.043522
muArr,0.21731,0.040353
muArr,0.1846,0.034524
muArr,0.16571,0.030971
muArr,0.24341,0.045537
muArr,0.24321,0.046183
muArr,0.24457,0.046656
muArr,0.28062,0.055487
muArr,0.23358,0.04764
muArr,0.22299,0.046495
muArr,0.30399,0.065514
muArr,0.20445,0.043987
muArr,0.2277,0.047866
muArr,0.16013,0.033705
muArr,0.15953,0.032975
muArr,0.15013,0.030727
muArr,0.13677,0.027856
muArr,0.16151,0.033296
muArr,0.15882,0.032985
muArr,0.13753,0.029025
muArr,0.14642,0.030831
muArr,0.1676,0.035791
muArr,0.19076,0.04032
muArr,0.19103,0.040344
muArr,0.22734,0.048013
muArr,0.22779,0.04799
muArr,0.22422,0.047407
muArr,0.22602,0.047959
muArr,0.25145,0.053981
muArr,0.2249,0.048492
muArr,0.26185,0.056566
muArr,0.25418,0.055304
muArr,0.16009,0.034651
muArr,0.15095,0.031942
muArr,0.22908,0.048573
muArr,0.21105,0.045247
muArr,0.30523,0.067881
muArr,0.32904,0.078297
muPal,3.334e-12,4.9272e-13
muPal,3.3603e-12,5.01e-13
muPal,3.7859e-12,6.3114e-13
muPal,4.2639e-12,7.7044e-13
muPal,4.63e-12,8.7835e-13
muPal,5.0859e-12,1.0228e-12
muPal,5.6767e-12,1.2216e-12
muPal,6.0689e-12,1.361e-12
muPal,6.2829e-12,1.4381e-12
muPal,6.4527e-12,1.4925e-12
muPal,0.019204,0.0046068
muPal,0.048228,0.012083
muPal,0.083469,0.022046
muPal,0.079792,0.022226
muPal,0.12984,0.037385
muPal,0.071567,0.020878
muPal,0.049293,0.014631
muPal,0.040069,0.011855
muPal,0.062342,0.018383
muPal,0.051,0.014936
muPal,0.035081,0.010146
muPal,0.062027,0.017964
muPal,0.064477,0.018933
muPal,0.079692,0.023817
muPal,0.082342,0.024837
muPal,0.085168,0.025792
muPal,0.096546,0.029549
muPal,0.090818,0.028082
muPal,0.071974,0.022392
muPal,0.082514,0.025521
muPal,0.066715,0.020656
muPal,0.066349,0.020712
muPal,0.073947,0.02326
muPal,0.069918,0.021901
muPal,0.034465,0.01096
muPal,0.055266,0.017348
muPal,0.035363,0.011132
muPal,0.020503,0.0064148
muPal,0.02023,0.0061782
muPal,0.017408,0.0051844
muPal,0.012121,0.0036191
muPal,0.0055796,0.0016622
muPal,0.0023217,0.00071578
muEsp,1.8601e-12,1.5111e-13
muEsp,1.867e-12,1.5161e-13
muEsp,1.9758e-12,1.5958e-13
muEsp,2.0902e-12,1.6853e-13
muEsp,0.0013128,0.00010523
muEsp,0.0012033,9.5598e-05
muEsp,0.0015806,0.0001247
muEsp,0.0054296,0.00041949
